Year,Product line,Product type,Product,Order method type,Retailer country, Revenue , Planned revenue , Product cost ,   Quantity   , Unit cost , Unit price , Gross profit , Unit sale price 
2004,Camping Equipment,Tents,Star Lite,E-mail,Germany,1320939,1401312,946500,3786,250,370,374439,351
2004,Camping Equipment,Tents,Star Gazer 2,E-mail,Germany,1051884,1131060,762371,1942,393,582,289513,542
2004,Camping Equipment,Tents,Star Gazer 2,E-mail,Canada,1019385,1096114,738817,1882,393,582,280569,542
2004,Camping Equipment,Packs,Canyon Mule Weekender Backpack,E-mail,Canada,851880,915992,533979,3204,167,286,317901,266
2004,Camping Equipment,Packs,Canyon Mule Journey Backpack,E-mail,Germany,832816,923441,531192,2490,213,371,301624,338
2004,Camping Equipment,Packs,Canyon Mule Journey Backpack,E-mail,Canada,813037,886726,510072,2391,213,371,302965,342
2004,Camping Equipment,Tents,Star Lite,E-mail,Canada,795182,852780,576000,2304,250,370,219182,347
2004,Camping Equipment,Packs,Canyon Mule Weekender Backpack,E-mail,Germany,724789,779336,454315,2726,167,286,270474,266
2004,Camping Equipment,Tents,Star Dome,E-mail,Canada,700634,750476,456588,1153,396,651,244046,609
2004,Camping Equipment,Packs,Canyon Mule Weekender Backpack,E-mail,Japan,618703,665266,387818,2327,167,286,230885,266
2004,Camping Equipment,Packs,Canyon Mule Journey Backpack,E-mail,Japan,558393,600422,345381,1619,213,371,213012,345
2004,Camping Equipment,Tents,Star Gazer 3,E-mail,Canada,551565,593078,373176,876,426,677,178389,630
2004,Camping Equipment,Tents,Star Dome,E-mail,Germany,545317,579943,352836,891,396,651,192481,616
2004,Camping Equipment,Tents,Star Lite,E-mail,Japan,463131,495234,334500,1338,250,370,128631,349
2004,Camping Equipment,Tents,Star Dome,E-mail,Japan,453574,482960,293832,742,396,651,159742,615
2004,Camping Equipment,Sleeping Bags,Hibernator,E-mail,Canada,441471,484539,283800,3300,86,147,157671,135
2004,Camping Equipment,Sleeping Bags,Hibernator Lite,E-mail,Canada,423089,454955,303000,5050,60,90,120089,84
2004,Camping Equipment,Tents,Star Gazer 3,E-mail,Germany,419970,451579,284142,667,426,677,135828,630
2004,Camping Equipment,Tents,Star Gazer 2,E-mail,Japan,410571,441474,297568,758,393,582,113003,542
2004,Camping Equipment,Sleeping Bags,Hibernator Lite,E-mail,Germany,396196,426036,283740,4729,60,90,112456,84
2004,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,E-mail,Germany,395801,466826,253092,3668,69,127,142709,111
2004,Camping Equipment,Tents,Star Gazer 6,E-mail,Canada,393014,422595,248920,508,490,832,144094,774
2004,Camping Equipment,Tents,Star Gazer 2,E-mail,Italy,387280,416430,280688,715,393,582,106592,542
2004,Camping Equipment,Sleeping Bags,Hibernator,E-mail,Germany,378029,434323,254388,2958,86,147,123641,132
2004,Camping Equipment,Tents,Star Gazer 6,E-mail,Germany,373989,401798,236670,483,490,832,137319,774
2004,Camping Equipment,Sleeping Bags,Hibernator Extreme,E-mail,Canada,361486,388695,219900,1466,150,265,141586,247
2004,Camping Equipment,Cooking Gear,TrailChef Cook Set,E-mail,Canada,352822,374238,238251,6813,35,55,114572,49
2004,Camping Equipment,Packs,Canyon Mule Carryall,E-mail,Canada,350140,376467,210924,5122,41,74,139216,68
2004,Camping Equipment,Packs,Canyon Mule Carryall,E-mail,Germany,337425,362796,203264,4936,41,74,134160,68
2004,Camping Equipment,Packs,Canyon Mule Weekender Backpack,E-mail,Italy,295924,318196,185493,1113,167,286,110432,266
2004,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,E-mail,Canada,292556,326193,176847,2563,69,127,115709,116
2004,Camping Equipment,Tents,Star Gazer 3,E-mail,Japan,278301,299247,188292,442,426,677,90009,630
2004,Camping Equipment,Packs,Canyon Mule Climber Backpack,E-mail,Canada,274555,295219,201653,3841,53,77,72902,71
2004,Camping Equipment,Packs,Canyon Mule Climber Backpack,E-mail,Japan,273933,298371,203805,3882,53,77,70128,71
2004,Camping Equipment,Tents,Star Gazer 3,E-mail,Italy,272004,292477,184032,432,426,677,87972,630
2004,Camping Equipment,Cooking Gear,TrailChef Cook Set,E-mail,Germany,268744,290635,185026,5291,35,55,83718,41
2004,Camping Equipment,Sleeping Bags,Hibernator Extreme,E-mail,Germany,268279,288472,163200,1088,150,265,105079,247
2004,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,E-mail,Germany,267218,287330,188519,2215,85,130,78699,121
2004,Camping Equipment,Packs,Canyon Mule Extreme Backpack,E-mail,Italy,263392,283220,146911,615,239,461,116481,428
2004,Camping Equipment,Cooking Gear,TrailChef Kettle,E-mail,Canada,262927,293603,122559,22209,6,13,140368,12
2004,Camping Equipment,Sleeping Bags,Hibernator Camp Cot,E-mail,Germany,259226,286589,178981,2743,65,104,80245,94
2004,Camping Equipment,Cooking Gear,TrailChef Kettle,E-mail,Germany,252512,294251,121157,22258,6,13,131355,12
2004,Camping Equipment,Tents,Star Gazer 2,E-mail,Sweden,251326,270243,182152,464,393,582,69173,542
2004,Camping Equipment,Lanterns,EverGlow Lamp,E-mail,Germany,248396,275514,164605,9907,17,28,83791,25
2004,Camping Equipment,Packs,Canyon Mule Journey Backpack,E-mail,Italy,243767,279999,161064,755,213,371,82703,329
2004,Camping Equipment,Cooking Gear,TrailChef Single Flame,E-mail,Canada,241631,259802,180465,3891,46,67,61167,62
2004,Camping Equipment,Sleeping Bags,Hibernator Lite,E-mail,Japan,239108,257117,171240,2854,60,90,67868,84
2004,Camping Equipment,Packs,Canyon Mule Carryall,E-mail,Japan,233039,250562,140383,3409,41,74,92657,68
2004,Camping Equipment,Cooking Gear,TrailChef Single Flame,E-mail,Germany,232881,252992,175734,3789,46,67,57147,62
2004,Camping Equipment,Lanterns,EverGlow Lamp,E-mail,Canada,232458,251096,155263,9029,17,28,77195,26
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,E-mail,Germany,226990,242808,162518,10202,16,24,64472,22
2004,Camping Equipment,Sleeping Bags,Hibernator Camp Cot,E-mail,Japan,226463,249812,156013,2391,65,104,70450,94
2004,Camping Equipment,Tents,Star Gazer 6,E-mail,Japan,223984,240413,141610,289,490,832,82374,775
2004,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,E-mail,Canada,221133,237777,156007,1833,85,130,65126,121
2004,Camping Equipment,Tents,Star Gazer 2,E-mail,Spain,217743,234133,157813,402,393,582,59930,542
2004,Camping Equipment,Tents,Star Gazer 2,E-mail,Netherlands,217202,233550,157421,401,393,582,59781,542
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,E-mail,Canada,207479,219531,146938,9224,16,24,60541,23
2004,Camping Equipment,Packs,Canyon Mule Cooler,E-mail,Canada,200942,209736,99904,6244,16,34,101038,32
2004,Camping Equipment,Packs,Canyon Mule Cooler,E-mail,Germany,200067,208762,99440,6215,16,34,100627,32
2004,Camping Equipment,Sleeping Bags,Hibernator Camp Cot,E-mail,Canada,198171,215856,134807,2066,65,104,63365,96
2004,Camping Equipment,Sleeping Bags,Hibernator,E-mail,Japan,197724,212610,124528,1448,86,147,73196,137
2004,Camping Equipment,Sleeping Bags,Hibernator Pad,E-mail,Canada,195495,215323,99662,5297,19,41,95833,38
2004,Camping Equipment,Packs,Canyon Mule Journey Backpack,E-mail,Korea,193489,208052,119678,561,213,371,73811,345
2004,Camping Equipment,Cooking Gear,TrailChef Double Flame,E-mail,Canada,192387,206863,102225,1363,75,152,90162,141
2004,Camping Equipment,Cooking Gear,TrailChef Double Flame,E-mail,Germany,191710,219459,108450,1446,75,152,83260,134
2004,Camping Equipment,Sleeping Bags,Hibernator Pad,E-mail,Germany,185337,214144,97432,5268,19,41,87906,37
2004,Camping Equipment,Lanterns,EverGlow Lamp,E-mail,Japan,182965,204098,120090,7339,17,28,62876,25
2004,Camping Equipment,Packs,Canyon Mule Extreme Backpack,E-mail,Canada,179878,193418,100330,420,239,461,79548,428
2004,Camping Equipment,Sleeping Bags,Hibernator,E-mail,Italy,177788,191173,111972,1302,86,147,65816,137
2004,Camping Equipment,Cooking Gear,TrailChef Kitchen Kit,E-mail,Japan,177089,187496,125497,7878,16,24,51592,23
2004,Camping Equipment,Lanterns,Firefly 2,E-mail,Canada,172631,191070,112974,6981,16,27,59656,25
2004,Camping Equipment,Lanterns,Firefly 2,E-mail,Germany,170602,192849,112963,7046,16,27,57639,25
2004,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,E-mail,Italy,164191,176549,115835,1361,85,130,48356,121
2004,Camping Equipment,Packs,Canyon Mule Weekender Backpack,E-mail,Korea,164048,176394,102829,617,167,286,61219,266
2004,Camping Equipment,Cooking Gear,TrailChef Cook Set,E-mail,Japan,162269,175941,112009,3203,35,55,50260,39
2004,Camping Equipment,Cooking Gear,TrailChef Single Flame,E-mail,Japan,159535,171532,119150,2569,46,67,40385,62
2004,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,E-mail,Japan,158859,184414,99981,1449,69,127,58878,113
2004,Camping Equipment,Packs,Canyon Mule Journey Backpack,E-mail,Netherlands,155205,166887,95999,450,213,371,59207,345
